,path,time_scraped,canopy_moisture,dz,extent,extent_fmt,fire_grid,fuel,ignition,output,resolution,resolution_units,run_binary,run_end,run_max_mem_rss_bytes,run_start,seed,sim_time,surface_moisture,threads,timestep,topo,wind_direction,wind_speed
1207,burnpro3d/d/8b/5f/run_8b5f5256-3d9a-4696-a234-a5dbe01de713,2023-07-28T10:19:23.972201,0.3,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-06T12:31:34.083917-07:00,2658872,2023-06-06T10:24:20.120450-07:00,-1,4225,0.3,1,600,,90.0,5.0
1250,burnpro3d/d/8b/c0/run_8bc012e0-16e2-462d-aa6c-c6d91d8b680f,2023-07-28T10:19:23.972201,1.0,,"[1298064.0, 942076.0, 1298868.0, 941272.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-18T16:32:48.700125-07:00,1336832,2023-07-18T16:05:20.558245-07:00,-1,5945,0.25,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,4.47
1261,burnpro3d/d/8b/e2/run_8be2f9e2-58ef-452a-a193-ccf7e4e45363,2023-07-28T10:19:23.972201,0.9,,"[-1959092.0, 1310426.0, -1958552.0, 1309880.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T19:16:59.491789-07:00,452196,2023-06-23T18:44:56.805312-07:00,-1,19838,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,4.47
1277,burnpro3d/d/8c/1e/run_8c1e6e94-5e79-41fd-974c-4a33bf767ba3,2023-07-28T10:19:23.972201,0.9,,"[1298064.0, 942076.0, 1298868.0, 941272.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-18T16:50:13.041216-07:00,1337072,2023-07-18T16:04:59.770267-07:00,-1,5945,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,2.235
1293,burnpro3d/d/8c/43/run_8c436f69-dabc-450e-b95b-ef7dc52fda2d,2023-07-28T10:19:23.972201,0.9,,"[1298064.0, 942076.0, 1298868.0, 941272.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T13:05:09.500035-07:00,1338680,2023-06-19T12:20:19.519893-07:00,-1,6748,0.05,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,1.341
1330,burnpro3d/d/8c/b4/run_8cb49693-fdc7-4712-aa16-38fd7f284a30,2023-07-28T10:19:23.972201,1.1,,"[-2011072.0, 1581140.0, -2010524.0, 1580484.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-10T15:13:09.588018-07:00,516692,2023-07-10T15:01:32.634201-07:00,-1,4228,0.07,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",300.0,4.47
1333,burnpro3d/d/8c/ba/run_8cbaa66f-b1c0-4759-ad3e-e7a82428238f,2023-07-28T10:19:23.972201,0.9,,"[-2011072.0, 1581140.0, -2010524.0, 1580484.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-27T10:31:46.629711-07:00,515996,2023-06-27T10:12:59.408479-07:00,-1,4345,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,2.235
1343,burnpro3d/d/8c/d8/run_8cd8f932-c5ef-45e2-809a-6748fd3a9bdc,2023-07-28T10:19:23.972201,1.0,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-14T15:29:25.917802-07:00,2470740,2023-06-14T12:24:35.173860-07:00,-1,11359,0.05,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",210.0,3.129
1362,burnpro3d/d/8d/0e/run_8d0e3848-d947-4c02-97ad-87c3d6dbc72e,2023-07-28T10:19:23.972201,0.4,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-06T10:54:39.381460-07:00,2659992,2023-06-06T10:25:22.834892-07:00,-1,4225,0.1,1,600,,180.0,20.0
1370,burnpro3d/d/8d/20/run_8d204a59-a225-45ef-8565-f2d8ad9ad443,2023-07-28T10:19:23.972201,1.2,,"[-2022368.0, 1580996.0, -2021710.0, 1580178.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-13T13:38:47.267453-07:00,646892,2023-07-13T13:07:47.230324-07:00,-1,5295,0.07,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",230.0,2.682
